manhole_id,depth_to_invert,upstream_pipe_count,upstream_pipe_total_length,upstream_pipe_weighted_avg_diameter,upstream_pipe_weighted_avg_gradient,upstream_storm_impervious_area,upstream_storm_pervious_area,upstream_storm_total_area,upstream_sanitary_population,stream_order
MH1400226,4.069999999999993,4,348.81839956711116,200.00000000000003,0.03899736945322128,0.024980087963869812,0.013349979035055802,0.03833006699892561,185.3000000000001,1
MH1400228,2.7672833251999975,5,356.32362550876593,314.51550181361483,0.03816755058153009,2.577157247111015,0.9716087786397564,3.548766025750772,98.60000000000001,2
MH1400230,3.219999999999999,4,291.03429472656427,267.29635178345075,0.0448400763637182,2.4304832638893767,0.935138332766087,3.3656215966554646,90.00000000000001,2
MH1400232,3.200000000000003,3,249.94515561391557,200.0,0.051023193342859825,0.024980087963869812,0.013349979035055802,0.03833006699892561,185.3000000000001,1
MH1400234,3.6799999999999926,3,245.93176909921192,261.29868366111964,0.047004907264894896,1.928654627509295,0.6825834623936808,2.6112380899029755,79.0,2
MH1400236,3.1700000000000017,2,205.11373589506516,199.99999999999997,0.055305901140640934,0.024980087963869812,0.013349979035055802,0.03833006699892561,72.39999999999998,1
MH1400238,3.1299999999999955,2,103.01680498037186,207.60844121012533,0.04135247643150724,1.7488310888786056,0.592656237072421,2.3414873259510265,76.19999999999999,2
MH1400240,3.1940000000000026,1,61.904546214474,200.0,0.06532638145814341,0.024980087963869812,0.013349979035055802,0.03833006699892561,53.399999999999984,1
MH1400242,3.280000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,24.200000000000003,1
MH1400244,3.210000000000008,0,0.0,0.0,0.0,0.327704276071639,0.12566269848073602,0.45336697455237507,2.8,1
MH1498064,3.8500000000000085,3,310.8282392946195,246.8218789197471,0.03207559268947215,1.6386414012913597,0.6913710291075507,2.330012430398911,139.00000000000003,2
MH1498069,3.759999999999991,2,190.85636768607827,200.00000000000003,0.0382486583418956,0.0,0.0,0.0,27.0,1
MH396965,3.4000000000000057,6,320.1134445917905,284.7923999953575,0.010090172888923471,1.2568885223192419,0.2637159542225384,1.5206044765417803,41.0,3
MH397219,3.1099999999999994,10,469.7484594697347,225.9897014365007,0.03812678815427579,3.2206894239005077,1.4281434013522092,4.648832825252718,244.40000000000035,3
MH397221,2.809999999999988,8,494.6477614376909,223.08070005159013,0.03998805117910482,3.1698264548998947,1.5721615919463874,4.741988046846282,313.60000000000036,2
MH397654,3.3700000000000045,4,313.82139740521023,267.0065408202945,0.024058270285028844,2.3643238214361,1.0162312462204466,3.380555067656547,30.199999999999996,2
