node_id,FloodDepth
MH1400226,-4.029229164123535
MH1400228,-2.549964427947998
MH1400230,-3.011976480484009
MH1400232,-3.164050579071045
MH1400234,-3.5194778442382812
MH1400236,-3.140195846557617
MH1400238,-2.997100353240967
MH1400240,-3.1622986793518066
MH1400242,-3.259539842605591
MH1400244,-3.1489925384521484
MH1498064,-3.669309616088867
MH1498069,-3.739060401916504
MH396965,-3.256950616836548
MH397219,-2.6332266330718994
MH397221,-2.3680975437164307
MH397654,-2.9947783946990967
MH397904,-3.9587607383728027
MH398171,-3.378143548965454
MH398172,-3.1991777420043945
MH398173,-3.1139330863952637
MH398175,-3.3174452781677246
MH398558,-2.641697406768799
MH398560,-2.262028455734253
MH398561,-3.3900105953216553
MH398562,-3.1898279190063477
MH398563,-3.164658784866333
MH400936,-3.3253796100616455
MH400937,-3.6796374320983887
MH400939,-2.101135730743408
MH400940,-2.4972052574157715
MH400941,-2.2785356044769287
MH400942,-1.5989559888839722
MH400943,-2.2371954917907715
MH400944,-2.2007336616516113
MH401323,-2.5854721069335938
MH401324,-2.9845104217529297
MH402868,-3.125997304916382
MH402978,-3.8636984825134277
MH403713,-3.4697954654693604
MH405860,-2.782022714614868
MH405861,-2.079979658126831
MH405862,-2.124162197113037
MH405863,-2.633387327194214
MH405864,-3.2934396266937256
MH405865,-2.6572935581207275
MH405938,-2.3320844173431396
MH405939,-2.070012092590332
MH405940,-2.5434811115264893
MH405941,-2.2547354698181152
MH405942,-2.322246551513672
MH405945,-3.2439658641815186
MH405946,-3.4781553745269775
MH406956,-3.754920721054077
MH406956_1,-3.6523842811584473
MH407003,-1.763413429260254
MH409133,-2.3893446922302246
MH409134,-2.1994380950927734
MH409138,-2.672820806503296
MH409141,-3.6016576290130615
MH410048,-2.5234503746032715
MH411165,-2.897784471511841
MH411166,-2.2923312187194824
MH411168,-2.931382894515991
MH411169,-2.715332508087158
MH411170,-2.616252899169922
MH411654,-1.7495533227920532
MH411662,-1.967881679534912
MH412047,-2.969801187515259
MH412767,-3.3437340259552
MH412768,-3.1550920009613037
MH413144,-4.3094401359558105
MH413145,-3.4847943782806396
MH413146,-3.710850238800049
MH413148,-4.0355424880981445
MH413985,-2.5761430263519287
MH413986,-2.2598981857299805
MH413987,-2.656810760498047
MH413988,-3.1957144737243652
MH413989,-2.2379279136657715
MH413990,-2.307588577270508
MH413991,-2.14001202583313
MH415126,-3.7031192779541016
MH415869,-3.1349966526031494
MH415870,-3.52287220954895
MH417659,-2.488168239593506
MH417662,-3.286823272705078
MH417663,-2.9156861305236816
MH417664,-2.4338083267211914
MH417665,-3.0044517517089844
MH417669,-2.6432297229766846
MH417670,-2.5941925048828125
MH417671,-2.347414970397949
MH418157,-3.378153085708618
MH418158,-2.405341625213623
MH418233,-3.1230196952819824
MH418234,-2.3441812992095947
MH418704,-3.054986000061035
MH418990,-3.2118332386016846
MH418992,-3.042677402496338
MH418993,-2.844292163848877
MH418995,-2.9136266708374023
MH422562,-2.519289255142212
MH422563,-2.8010413646698
MH422564,-2.6745991706848145
MH422566,-2.527949810028076
MH422569,-3.019510507583618
MH423068,-2.665421485900879
MH423069,-1.7198911905288696
MH423466,-2.652831554412842
MH423970,-3.337911605834961
MHJ11_L,-1.5590581893920898
MHJ12_L,-1.3430614471435547
MHJ22_L,-2.2782583236694336
MHJ23_L,-3.1151108741760254
MHJ25_L,-2.5600268840789795
MHJ26_L,-2.0464179515838623
MHJ27_L,-1.87276291847229
MHJ28_L,0.16142314672470093
MHJ31_L,-1.972244381904602
MHJ6_L,-1.7991470098495483
MHJ7_L,-2.75869083404541
MHJ8_L,-1.6632276773452759
MHJ9_L,-2.226572275161743
MH492576,-1.720447063446045
MH414536,-2.913234233856201
MH414965,-2.9994306564331055
MH1371142,-3.0394365787506104
MH1371153,-2.970452308654785
MH1371167,-2.4151129722595215
MH1371174,-2.3286473751068115
MH1371181,-2.9829888343811035
MH1371196,-2.908459424972534
MH1371208,-3.60884952545166
MH1371238,-3.4488525390625
MH397068,-1.4837517738342285
MH397074,-1.7844244241714478
MH397076,-2.8062777519226074
MH397653,-3.043063163757324
MH397666,-2.8819994926452637
MH397759,-2.972572088241577
MH398281,-4.256620407104492
MH398282,-3.2675230503082275
MH398283,-4.595227241516113
MH398284,-3.0764858722686768
MH400938,-2.2359657287597656
MH404143,0.30205532908439636
MH404625,-2.577122211456299
MH404628,-3.230302333831787
MH404631,-2.6159486770629883
MH408352,-1.969442367553711
MH409049,-2.4403979778289795
MH410865,-2.79274320602417
MH410868,-2.081332206726074
MH416611,-2.8089537620544434
MH416612,-2.8012120723724365
MH417675,-2.5752651691436768
MH422045,-2.6674163341522217
MH422046,-1.8520219326019287
MH422137,-1.8846466541290283
MH423067,-2.7297165393829346
MH423969,-3.249479055404663
MHJ1_L,-3.1311166286468506
MHJ2_L,-2.347522020339966
MHJ20_L,-2.626322031021118
MHJ21_L,-1.917294979095459
MHJ24_L,-2.4690001010894775
MHJ3_L,-0.9535825848579407
MHJ32_L,-2.3649158477783203
MH492375,-1.6265122890472412
MH499971,-2.4034595489501953
MH396959,-1.3943344354629517
MH396964,-1.577082872390747
MH398541,-3.3107244968414307
MH398551,-2.7920854091644287
MH398555,-2.9418959617614746
MH398556,-1.6338852643966675
MH398557,-2.3623249530792236
MH398559,-2.1309289932250977
MH413993,-1.4313594102859497
MHJ4_L,-1.898141622543335
MHJ5_L,-1.8833872079849243
MH411652,-1.0451314449310303
MH1401601,-1.8590284585952759
MH483854,-0.47511643171310425
