manhole_id,depth_to_invert,upstream_pipe_count,upstream_pipe_total_length,upstream_pipe_weighted_avg_diameter,upstream_pipe_weighted_avg_gradient,upstream_storm_impervious_area,upstream_sanitary_population,stream_order
MH1400226,4.069999999999993,4,348.81839956711116,200.00000000000003,0.03899736945322128,0.024980087963869812,185.3000000000001,1
MH1400228,2.7672833251999975,5,356.32362550876593,314.51550181361483,0.03816755058153009,2.577157247111015,98.60000000000001,2
MH1400230,3.219999999999999,4,291.03429472656427,267.29635178345075,0.0448400763637182,2.4304832638893767,90.00000000000001,2
MH1400232,3.200000000000003,3,249.94515561391557,200.0,0.051023193342859825,0.024980087963869812,185.3000000000001,1
MH1400234,3.6799999999999926,3,245.93176909921192,261.29868366111964,0.047004907264894896,1.928654627509295,79.0,2
MH1400236,3.1700000000000017,2,205.11373589506516,199.99999999999997,0.055305901140640934,0.024980087963869812,72.39999999999998,1
MH1400238,3.1299999999999955,2,103.01680498037186,207.60844121012533,0.04135247643150724,1.7488310888786056,76.19999999999999,2
MH1400240,3.1940000000000026,1,61.904546214474,200.0,0.06532638145814341,0.024980087963869812,53.399999999999984,1
MH1400242,3.280000000000001,0,0.0,0.0,0.0,0.0,24.200000000000003,1
MH1400244,3.210000000000008,0,0.0,0.0,0.0,0.327704276071639,2.8,1
MH1498064,3.8500000000000085,3,310.8282392946195,246.8218789197471,0.03207559268947215,1.6386414012913597,139.00000000000003,2
MH1498069,3.759999999999991,2,190.85636768607827,200.00000000000003,0.0382486583418956,0.0,27.0,1
MH396965,3.4000000000000057,6,320.1134445917905,284.7923999953575,0.010090172888923471,1.2568885223192419,41.0,3
MH397219,3.1099999999999994,10,469.7484594697347,225.9897014365007,0.03812678815427579,3.2206894239005077,244.40000000000035,3
MH397221,2.809999999999988,8,494.6477614376909,223.08070005159013,0.03998805117910482,3.1698264548998942,313.60000000000036,2
MH397654,3.3700000000000045,4,313.82139740521023,267.0065408202945,0.024058270285028844,2.3643238214361,30.199999999999996,2
MH397904,3.980000000000004,3,205.62744022623502,199.99999999999994,0.03686278442050516,0.0,27.0,1
MH398171,3.3999999999999915,2,221.52132483259146,200.0,0.008983333778379492,0.0,87.2,1
MH398172,3.3699999999999903,17,1352.1005721304023,299.1544130490702,0.01725907116748813,5.830939904007871,235.4000000000002,6
MH398173,3.3999999999999915,18,1399.5525477683589,309.35461416731005,0.018703120537873826,5.9846943065020906,240.40000000000018,6
MH398175,3.3700000000000045,3,268.9320884314506,200.0,0.01825739735498886,0.08269582761067569,92.2,1
MH398558,2.759999999999991,2,128.62049996116167,222.74830529979846,0.007075077458684897,0.6044409299877102,88.10000000000001,1
MH398560,2.3900000000000006,1,70.10253194257723,200.0,0.007988299202355666,0.45693023280438505,88.10000000000001,1
MH398561,3.8500000000000085,12,668.75653393092,238.48902997143756,0.014369953058271968,3.5683914833339556,643.0999999999995,4
MH398562,3.9000000000000057,11,606.7569328838736,224.54007410192787,0.015426276145725365,3.4718274896035544,637.4999999999994,4
MH398563,3.8900000000000006,9,510.92510687440887,228.4812103332846,0.01554043810564143,2.604125281211992,432.50000000000017,3
MH400936,5.25,162,10550.585321573035,337.39756152097743,0.023363537897369318,41.21787341099819,5856.919999999998,42
MH400937,3.780000000000001,7,357.2994286724016,301.9864022544581,0.010019607401282446,1.2568885223192419,41.0,3
MH400939,3.3299999999999983,7,438.540363202394,277.1761156013613,0.01981573585733866,3.041852636267448,74.6,3
