node_id,FloodDepth
MH1400226,-4.037049770355225
MH1400228,-2.5560660362243652
MH1400230,-3.017005205154419
MH1400232,-3.1690869331359863
MH1400234,-3.525214433670044
MH1400236,-3.142125368118286
MH1400238,-3.00091814994812
MH1400240,-3.163410186767578
MH1400242,-3.259539842605591
MH1400244,-3.150230646133423
MH1498064,-3.6775906085968018
MH1498069,-3.739060401916504
MH396965,-3.267021417617798
MH397219,-2.7084200382232666
MH397221,-2.4664859771728516
MH397654,-3.1839406490325928
MH397904,-3.9587607383728027
MH398171,-3.378143548965454
MH398172,-3.2063419818878174
MH398173,-3.14162015914917
MH398175,-3.318290948867798
MH398558,-2.637983798980713
MH398560,-2.259094476699829
MH398561,-3.4226670265197754
MH398562,-3.2636940479278564
MH398563,-3.241013765335083
MH400936,-4.015120029449463
MH400937,-3.6952197551727295
MH400939,-3.045896530151367
MH400940,-3.319371223449707
MH400941,-2.3195087909698486
MH400942,-2.065520763397217
MH400943,-3.169774055480957
MH400944,-2.2656352519989014
MH401323,-2.589211940765381
MH401324,-3.201594591140747
MH402868,-3.1467301845550537
MH402978,-4.571528911590576
MH403713,-3.553004264831543
MH405860,-2.772270679473877
MH405861,-2.0689587593078613
MH405862,-2.1161043643951416
MH405863,-2.632751941680908
MH405864,-3.3027143478393555
MH405865,-2.6517200469970703
MH405938,-2.3256804943084717
MH405939,-2.0706331729888916
MH405940,-2.5397541522979736
MH405941,-2.255467653274536
MH405942,-2.3246798515319824
MH405945,-3.2423529624938965
MH405946,-3.477271795272827
MH406956,-4.127915859222412
MH406956_1,-4.085385322570801
MH407003,-1.8393341302871704
MH409133,-2.4580917358398438
MH409134,-2.212462902069092
MH409138,-2.7051711082458496
MH409141,-3.6325206756591797
MH410048,-3.091325521469116
MH411165,-2.9082584381103516
MH411166,-2.2930209636688232
MH411168,-2.941563129425049
MH411169,-2.8638663291931152
MH411170,-2.7725772857666016
MH411654,-1.741245985031128
MH411662,-2.856959104537964
MH412047,-3.901181221008301
MH412767,-4.275704860687256
MH412768,-4.091259956359863
MH413144,-4.381858825683594
MH413145,-3.514418125152588
MH413146,-3.7314648628234863
MH413148,-4.423131465911865
MH413985,-3.5029079914093018
MH413986,-3.1802191734313965
MH413987,-3.586892604827881
MH413988,-3.2080435752868652
MH413989,-2.2352588176727295
MH413990,-3.2367637157440186
MH413991,-2.759011745452881
MH415126,-3.7102112770080566
MH415869,-3.433718204498291
MH415870,-4.4579925537109375
MH417659,-2.4914779663085938
MH417662,-3.309109926223755
MH417663,-2.9863064289093018
MH417664,-2.447094202041626
MH417665,-3.0078210830688477
MH417669,-2.644131898880005
MH417670,-2.6001579761505127
MH417671,-2.3489434719085693
MH418157,-3.3836443424224854
MH418158,-2.4088351726531982
MH418233,-3.1316447257995605
MH418234,-2.3450403213500977
MH418704,-3.85798716545105
MH418990,-3.218904733657837
MH418992,-3.0490314960479736
MH418993,-2.8496553897857666
MH418995,-2.9200193881988525
MH422562,-3.109955310821533
MH422563,-3.7509543895721436
MH422564,-3.6053597927093506
MH422566,-3.4611783027648926
MH422569,-3.9509592056274414
MH423068,-2.8628947734832764
MH423069,-2.092264413833618
MH423466,-2.6565873622894287
MH423970,-3.337911605834961
MHJ11_L,-1.557688593864441
MHJ12_L,-1.362511157989502
MHJ22_L,-2.281826972961426
MHJ23_L,-3.118102788925171
MHJ25_L,-2.5636091232299805
MHJ26_L,-2.0447351932525635
MHJ27_L,-1.8711681365966797
MHJ28_L,0.14705872535705566
MHJ31_L,-2.859653949737549
MHJ6_L,-1.979939341545105
MHJ7_L,-2.7674269676208496
MHJ8_L,-1.6626203060150146
MHJ9_L,-2.223982572555542
MH492576,-1.720447063446045
MH414536,-2.9175801277160645
MH414965,-2.9994306564331055
MH1371142,-3.0394365787506104
MH1371153,-2.9764492511749268
MH1371167,-2.4151129722595215
MH1371174,-2.333693742752075
MH1371181,-2.988349199295044
MH1371196,-2.9084699153900146
MH1371208,-3.60884952545166
MH1371238,-3.4515652656555176
MH397068,-1.4784268140792847
MH397074,-1.7897593975067139
MH397076,-2.8072266578674316
MH397653,-3.043063163757324
MH397666,-2.881758451461792
MH397759,-2.9752676486968994
MH398281,-4.273818492889404
MH398282,-3.2675230503082275
MH398283,-4.595227241516113
MH398284,-3.085646390914917
MH400938,-2.8063745498657227
MH404143,0.20145373046398163
MH404625,-2.578925609588623
MH404628,-3.2343289852142334
MH404631,-2.669750213623047
MH408352,-2.006687879562378
MH409049,-2.4494378566741943
MH410865,-2.803147077560425
MH410868,-2.3407390117645264
MH416611,-2.8089537620544434
MH416612,-2.8024742603302
MH417675,-2.587454080581665
MH422045,-2.6683690547943115
MH422046,-1.9719457626342773
MH422137,-2.271085023880005
MH423067,-3.173661708831787
MH423969,-3.2675817012786865
MHJ1_L,-3.1315603256225586
MHJ2_L,-2.3453097343444824
MHJ20_L,-2.624190330505371
MHJ21_L,-2.0249741077423096
MHJ24_L,-2.4690001010894775
MHJ3_L,-0.9494746923446655
MHJ32_L,-2.3649158477783203
MH492375,-1.6211951971054077
MH499971,-2.4133877754211426
MH396959,-1.393892765045166
MH396964,-1.577082872390747
MH398541,-3.464625597000122
MH398551,-2.8040213584899902
MH398555,-2.9415714740753174
MH398556,-1.9370040893554688
MH398557,-2.81068754196167
MH398559,-2.305051326751709
MH413993,-1.4281097650527954
MHJ4_L,-1.9428603649139404
MHJ5_L,-1.8768519163131714
MH411652,-1.0514204502105713
MH1401601,-2.4784371852874756
MH483854,-0.48141637444496155
