node_id,FloodDepth
MH1400226,-4.034450054168701
MH1400228,-2.5627505779266357
MH1400230,-3.0216078758239746
MH1400232,-3.1655876636505127
MH1400234,-3.5291903018951416
MH1400236,-3.1411490440368652
MH1400238,-3.002937078475952
MH1400240,-3.163088321685791
MH1400242,-3.259539842605591
MH1400244,-3.1519322395324707
MH1498064,-3.6808595657348633
MH1498069,-3.739060401916504
MH396965,-3.264082193374634
MH397219,-2.810572624206543
MH397221,-2.506732940673828
MH397654,-3.1844561100006104
MH397904,-3.9587607383728027
MH398171,-3.378143548965454
MH398172,-3.206087589263916
MH398173,-3.1428728103637695
MH398175,-3.3222086429595947
MH398558,-2.6472764015197754
MH398560,-2.2684988975524902
MH398561,-3.455981492996216
MH398562,-3.3435704708099365
MH398563,-3.324782609939575
MH400936,-3.8143839836120605
MH400937,-3.693784475326538
MH400939,-2.734861135482788
MH400940,-3.0574417114257812
MH400941,-2.3220536708831787
MH400942,-2.0644595623016357
MH400943,-2.8506505489349365
MH400944,-2.271313428878784
MH401323,-2.596841812133789
MH401324,-3.2106714248657227
MH402868,-3.1467301845550537
MH402978,-4.469103813171387
MH403713,-3.5568203926086426
MH405860,-2.799480438232422
MH405861,-2.105543613433838
MH405862,-2.134828805923462
MH405863,-2.6381194591522217
MH405864,-3.3052704334259033
MH405865,-2.6784725189208984
MH405938,-2.3554675579071045
MH405939,-2.0740067958831787
MH405940,-2.5586752891540527
MH405941,-2.2755587100982666
MH405942,-2.3286776542663574
MH405945,-3.2629168033599854
MH405946,-3.496267318725586
MH406956,-4.037611961364746
MH406956_1,-3.9743075370788574
MH407003,-1.848497986793518
MH409133,-2.4830784797668457
MH409134,-2.222663164138794
MH409138,-2.762769937515259
MH409141,-3.6452550888061523
MH410048,-3.088560104370117
MH411165,-2.9127471446990967
MH411166,-2.296032190322876
MH411168,-2.9468612670898438
MH411169,-3.0213139057159424
MH411170,-2.8552160263061523
MH411654,-1.7604026794433594
MH411662,-2.561556816101074
MH412047,-3.5829224586486816
MH412767,-3.9549450874328613
MH412768,-3.787846565246582
MH413144,-4.37629508972168
MH413145,-3.5189826488494873
MH413146,-3.736924648284912
MH413148,-4.418500900268555
MH413985,-3.1877474784851074
MH413986,-2.866504669189453
MH413987,-3.271296501159668
MH413988,-3.2075142860412598
MH413989,-2.241546869277954
MH413990,-2.9221582412719727
MH413991,-2.60908842086792
MH415126,-3.7160439491271973
MH415869,-3.436631202697754
MH415870,-4.131040096282959
MH417659,-2.497753620147705
MH417662,-3.322286367416382
MH417663,-3.0638442039489746
MH417664,-2.455340623855591
MH417665,-3.016099214553833
MH417669,-2.6494312286376953
MH417670,-2.6067984104156494
MH417671,-2.5220134258270264
MH418157,-3.399111747741699
MH418158,-2.4208340644836426
MH418233,-3.1442923545837402
MH418234,-2.3505351543426514
MH418704,-3.7096920013427734
MH418990,-3.218492269515991
MH418992,-3.048369884490967
MH418993,-2.8491387367248535
MH418995,-2.9192914962768555
MH422562,-3.103404998779297
MH422563,-3.4274468421936035
MH422564,-3.289060354232788
MH422566,-3.14437198638916
MH422569,-3.6325621604919434
MH423068,-2.870540142059326
MH423069,-2.0980770587921143
MH423466,-2.6588854789733887
MH423970,-3.337911605834961
MHJ11_L,-1.5636873245239258
MHJ12_L,-1.383009433746338
MHJ22_L,-2.284374237060547
MHJ23_L,-3.126469612121582
MHJ25_L,-2.5754780769348145
MHJ26_L,-2.0486507415771484
MHJ27_L,-1.8734644651412964
MHJ28_L,0.09593231230974197
MHJ31_L,-2.5657761096954346
MHJ6_L,-1.9846971035003662
MHJ7_L,-2.762169599533081
MHJ8_L,-1.663989782333374
MHJ9_L,-2.229949712753296
MH492576,-1.720447063446045
MH414536,-2.920588254928589
MH414965,-2.9994306564331055
MH1371142,-3.0394365787506104
MH1371153,-2.978308916091919
MH1371167,-2.4151129722595215
MH1371174,-2.3338510990142822
MH1371181,-2.985379695892334
MH1371196,-2.9084603786468506
MH1371208,-3.60884952545166
MH1371238,-3.450011730194092
MH397068,-1.4878102540969849
MH397074,-1.7918355464935303
MH397076,-2.8118371963500977
MH397653,-3.043063163757324
MH397666,-2.8919379711151123
MH397759,-2.9791457653045654
MH398281,-4.2746686935424805
MH398282,-3.2675230503082275
MH398283,-4.595227241516113
MH398284,-3.086214303970337
MH400938,-2.950127124786377
MH404143,0.26689568161964417
MH404625,-2.5824761390686035
MH404628,-3.2320735454559326
MH404631,-2.694007158279419
MH408352,-1.9825936555862427
MH409049,-2.4594571590423584
MH410865,-2.804799795150757
MH410868,-2.360593795776367
MH416611,-2.8089537620544434
MH416612,-2.8059537410736084
MH417675,-2.59224009513855
MH422045,-2.6724588871002197
MH422046,-2.3374505043029785
MH422137,-2.311892509460449
MH423067,-3.175781488418579
MH423969,-3.258439540863037
MHJ1_L,-3.131272554397583
MHJ2_L,-2.3488481044769287
MHJ20_L,-2.628215789794922
MHJ21_L,-2.0599002838134766
MHJ24_L,-2.4690001010894775
MHJ3_L,-0.9560525417327881
MHJ32_L,-2.3649158477783203
MH492375,-1.6305397748947144
MH499971,-2.4136672019958496
MH396959,-1.3994311094284058
MH396964,-1.577082872390747
MH398541,-3.435596227645874
MH398551,-2.8116064071655273
MH398555,-2.9476919174194336
MH398556,-2.2673299312591553
MH398557,-3.155413866043091
MH398559,-2.4386072158813477
MH413993,-1.4347928762435913
MHJ4_L,-1.9501965045928955
MHJ5_L,-1.8890552520751953
MH411652,-1.054290533065796
MH1401601,-2.3263564109802246
MH483854,-0.4842752516269684
