node_id,FloodDepth
MH1400226,-3.884337902069092
MH1400228,-2.5447499752044678
MH1400230,-3.0081374645233154
MH1400232,-3.1634557247161865
MH1400234,-3.51550555229187
MH1400236,-3.1398253440856934
MH1400238,-2.994807004928589
MH1400240,-3.1619696617126465
MH1400242,-3.259539842605591
MH1400244,-3.147850751876831
MH1498064,-3.664487361907959
MH1498069,-3.739060401916504
MH396965,-3.2541894912719727
MH397219,-2.5480844974517822
MH397221,-2.3070476055145264
MH397654,-2.7527859210968018
MH397904,-3.9587607383728027
MH398171,-3.378143548965454
MH398172,-3.1964914798736572
MH398173,-3.097841739654541
MH398175,-3.30942440032959
MH398558,-2.6395487785339355
MH398560,-2.259491443634033
MH398561,-3.3522422313690186
MH398562,-3.099092721939087
MH398563,-3.0696749687194824
MH400936,-3.1489052772521973
MH400937,-3.6508629322052
MH400939,-1.8643779754638672
MH400940,-2.2945938110351562
MH400941,-2.081279993057251
MH400942,-1.3773884773254395
MH400943,-2.011779308319092
MH400944,-1.956881046295166
MH401323,-2.5808486938476562
MH401324,-2.724350929260254
MH402868,-2.908839225769043
MH402978,-3.66011905670166
MH403713,-3.2846930027008057
MH405860,-2.774418592453003
MH405861,-2.0679168701171875
MH405862,-2.119612216949463
MH405863,-2.631481170654297
MH405864,-3.288503646850586
MH405865,-2.6480607986450195
MH405938,-2.3216552734375
MH405939,-2.0683956146240234
MH405940,-2.5372233390808105
MH405941,-2.245248317718506
MH405942,-2.31965970993042
MH405945,-3.236171007156372
MH405946,-3.4707353115081787
MH406956,-3.6338109970092773
MH406956_1,-3.5302324295043945
MH407003,-1.7281421422958374
MH409133,-2.1631014347076416
MH409134,-2.169285774230957
MH409138,-2.633822202682495
MH409141,-3.4769160747528076
MH410048,-2.292100667953491
MH411165,-2.890416383743286
MH411166,-2.2908787727355957
MH411168,-2.9075160026550293
MH411169,-2.5278127193450928
MH411170,-2.361949920654297
MH411654,-1.7448663711547852
MH411662,-1.7490503787994385
MH412047,-2.7442476749420166
MH412767,-3.1233341693878174
MH412768,-2.9188075065612793
MH413144,-4.133133888244629
MH413145,-3.4124739170074463
MH413146,-3.700373888015747
MH413148,-3.839693784713745
MH413985,-2.3444857597351074
MH413986,-2.028245449066162
MH413987,-2.4271399974823
MH413988,-3.190927743911743
MH413989,-2.2365245819091797
MH413990,-2.0775749683380127
MH413991,-1.8814696073532104
MH415126,-3.697781562805176
MH415869,-2.9054105281829834
MH415870,-3.3104910850524902
MH417659,-2.4841578006744385
MH417662,-3.1434357166290283
MH417663,-2.7726993560791016
MH417664,-2.4243268966674805
MH417665,-2.9995155334472656
MH417669,-2.640573740005493
MH417670,-2.588813543319702
MH417671,-2.2743935585021973
MH418157,-3.369053840637207
MH418158,-2.39864182472229
MH418233,-3.0277514457702637
MH418234,-2.341655731201172
MH418704,-2.8174424171447754
MH418990,-3.20920467376709
MH418992,-3.040475368499756
MH418993,-2.8424108028411865
MH418995,-2.9114339351654053
MH422562,-2.2878947257995605
MH422563,-2.567150115966797
MH422564,-2.4450607299804688
MH422566,-2.2963979244232178
MH422569,-2.7941792011260986
MH423068,-2.4170806407928467
MH423069,-1.4716876745224
MH423466,-2.6504600048065186
MH423970,-3.337911605834961
MHJ11_L,-1.5526641607284546
MHJ12_L,-1.3072597980499268
MHJ22_L,-2.2757787704467773
MHJ23_L,-3.1102101802825928
MHJ25_L,-2.5533242225646973
MHJ26_L,-2.0455360412597656
MHJ27_L,-1.8724896907806396
MHJ28_L,0.1842525601387024
MHJ31_L,-1.7536519765853882
MHJ6_L,-1.556391954421997
MHJ7_L,-2.757296323776245
MHJ8_L,-1.6629282236099243
MHJ9_L,-2.2252635955810547
MH492576,-1.720447063446045
MH414536,-2.910311222076416
MH414965,-2.9994306564331055
MH1371142,-3.0394365787506104
MH1371153,-2.967372417449951
MH1371167,-2.4151129722595215
MH1371174,-2.3266499042510986
MH1371181,-2.9819936752319336
MH1371196,-2.908458948135376
MH1371208,-3.60884952545166
MH1371238,-3.448376178741455
MH397068,-1.4821642637252808
MH397074,-1.781345248222351
MH397076,-2.804083824157715
MH397653,-3.043063163757324
MH397666,-2.8778064250946045
MH397759,-2.969977855682373
MH398281,-4.249363899230957
MH398282,-3.2675230503082275
MH398283,-4.595227241516113
MH398284,-3.072695732116699
MH400938,-1.800318956375122
MH404143,0.31506916880607605
MH404625,-2.5749642848968506
MH404628,-3.22956919670105
MH404631,-2.5677332878112793
MH408352,-1.9644694328308105
MH409049,-2.4320573806762695
MH410865,-2.7877166271209717
MH410868,-1.9229122400283813
MH416611,-2.8089537620544434
MH416612,-2.7993407249450684
MH417675,-2.5666801929473877
MH422045,-2.665388822555542
MH422046,-1.6421564817428589
MH422137,-1.3529951572418213
MH423067,-2.256732940673828
MH423969,-3.245739221572876
MHJ1_L,-3.1310579776763916
MHJ2_L,-2.3470065593719482
MHJ20_L,-2.6255860328674316
MHJ21_L,-1.7069839239120483
MHJ24_L,-2.4690001010894775
MHJ3_L,-0.9526206254959106
MHJ32_L,-2.3649158477783203
MH492375,-1.6249327659606934
MH499971,-2.3994765281677246
MH396959,-1.3923486471176147
MH396964,-1.577082872390747
MH398541,-3.2596428394317627
MH398551,-2.4920525550842285
MH398555,-2.939669132232666
MH398556,-1.3819408416748047
MH398557,-2.042790651321411
MH398559,-1.9883718490600586
MH413993,-1.4300299882888794
MHJ4_L,-1.6536498069763184
MHJ5_L,-1.8811091184616089
MH411652,-1.0414634943008423
MH1401601,-1.600255012512207
MH483854,-0.47144851088523865
