node_id,FloodDepth
MH1400226,-4.036552906036377
MH1400228,-2.549837589263916
MH1400230,-3.012498617172241
MH1400232,-3.1685187816619873
MH1400234,-3.520763874053955
MH1400236,-3.141810417175293
MH1400238,-2.9983153343200684
MH1400240,-3.1630969047546387
MH1400242,-3.259539842605591
MH1400244,-3.148817539215088
MH1498064,-3.67187237739563
MH1498069,-3.739060401916504
MH396965,-3.262650728225708
MH397219,-2.6021804809570312
MH397221,-2.406003475189209
MH397654,-3.178025484085083
MH397904,-3.9587607383728027
MH398171,-3.378143548965454
MH398172,-3.2024178504943848
MH398173,-3.128887414932251
MH398175,-3.316680669784546
MH398558,-2.6335675716400146
MH398560,-2.253995180130005
MH398561,-3.388561248779297
MH398562,-3.1863527297973633
MH398563,-3.158660411834717
MH400936,-3.865992784500122
MH400937,-3.6930766105651855
MH400939,-2.8425254821777344
MH400940,-3.137652635574341
MH400941,-2.3163187503814697
MH400942,-2.063162326812744
MH400943,-2.969329595565796
MH400944,-2.262336492538452
MH401323,-2.584005832672119
MH401324,-3.1954345703125
MH402868,-3.1467301845550537
MH402978,-4.568761825561523
MH403713,-3.534945011138916
MH405860,-2.7597591876983643
MH405861,-2.049922227859497
MH405862,-2.109038829803467
MH405863,-2.6303367614746094
MH405864,-3.296901226043701
MH405865,-2.63739013671875
MH405938,-2.306602954864502
MH405939,-2.069098472595215
MH405940,-2.531289577484131
MH405941,-2.242546558380127
MH405942,-2.322150468826294
MH405945,-3.2315006256103516
MH405946,-3.4670183658599854
MH406956,-4.059358596801758
MH406956_1,-4.001796722412109
MH407003,-1.7987123727798462
MH409133,-2.318049430847168
MH409134,-2.2009027004241943
MH409138,-2.6554388999938965
MH409141,-3.616306781768799
MH410048,-3.084526300430298
MH411165,-2.9029998779296875
MH411166,-2.2908973693847656
MH411168,-2.9385175704956055
MH411169,-2.7147932052612305
MH411170,-2.6826465129852295
MH411654,-1.7337934970855713
MH411662,-2.6595568656921387
MH412047,-3.699505567550659
MH412767,-4.0800676345825195
MH412768,-3.8901731967926025
MH413144,-4.381092071533203
MH413145,-3.497619390487671
MH413146,-3.7182979583740234
MH413148,-4.422584533691406
MH413985,-3.292736768722534
MH413986,-2.9708621501922607
MH413987,-3.379753351211548
MH413988,-3.201040267944336
MH413989,-2.2323763370513916
MH413990,-3.028883457183838
MH413991,-2.668588638305664
MH415126,-3.7032220363616943
MH415869,-3.4190821647644043
MH415870,-4.266969680786133
MH417659,-2.4870214462280273
MH417662,-3.2936606407165527
MH417663,-2.9213428497314453
MH417664,-2.4369773864746094
MH417665,-3.0015902519226074
MH417669,-2.6410419940948486
MH417670,-2.5934877395629883
MH417671,-2.238579750061035
MH418157,-3.372091054916382
MH418158,-2.400092363357544
MH418233,-3.120096206665039
MH418234,-2.3419015407562256
MH418704,-3.7906744480133057
MH418990,-3.214219808578491
MH418992,-3.044949531555176
MH418993,-2.846193313598633
MH418995,-2.9159529209136963
MH422562,-3.1059277057647705
MH422563,-3.5347347259521484
MH422564,-3.398672342300415
MH422566,-3.250077486038208
MH422569,-3.749664783477783
MH423068,-2.8584821224212646
MH423069,-2.084458589553833
MH423466,-2.653649091720581
MH423970,-3.337911605834961
MHJ11_L,-1.5519112348556519
MHJ12_L,-1.3257484436035156
MHJ22_L,-2.2788424491882324
MHJ23_L,-3.1123855113983154
MHJ25_L,-2.554826498031616
MHJ26_L,-2.043026924133301
MHJ27_L,-1.8706003427505493
MHJ28_L,0.18109266459941864
MHJ31_L,-2.6620781421661377
MHJ6_L,-1.9758762121200562
MHJ7_L,-2.7649526596069336
MHJ8_L,-1.6620004177093506
MHJ9_L,-2.221313714981079
MH492576,-1.720447063446045
MH414536,-2.9136455059051514
MH414965,-2.9994306564331055
MH1371142,-3.0394365787506104
MH1371153,-2.972745180130005
MH1371167,-2.4151129722595215
MH1371174,-2.3314461708068848
MH1371181,-2.98764705657959
MH1371196,-2.9084699153900146
MH1371208,-3.60884952545166
MH1371238,-3.4508843421936035
MH397068,-1.4754146337509155
MH397074,-1.7859281301498413
MH397076,-2.8042993545532227
MH397653,-3.043063163757324
MH397666,-2.8762528896331787
MH397759,-2.97172212600708
MH398281,-4.263360023498535
MH398282,-3.2675230503082275
MH398283,-4.595227241516113
MH398284,-3.0800013542175293
MH400938,-2.5454514026641846
MH404143,0.2237473875284195
MH404625,-2.576190948486328
MH404628,-3.233799695968628
MH404631,-2.6215851306915283
MH408352,-1.9985920190811157
MH409049,-2.4400320053100586
MH410865,-2.79740047454834
MH410868,-2.2244083881378174
MH416611,-2.8089537620544434
MH416612,-2.799929141998291
MH417675,-2.5791451930999756
MH422045,-2.6658592224121094
MH422046,-1.734029769897461
MH422137,-2.183246374130249
MH423067,-3.103759527206421
MH423969,-3.26387619972229
MHJ1_L,-3.1314635276794434
MHJ2_L,-2.34436297416687
MHJ20_L,-2.6227989196777344
MHJ21_L,-1.8034321069717407
MHJ24_L,-2.4690001010894775
MHJ3_L,-0.9477185010910034
MHJ32_L,-2.3649158477783203
MH492375,-1.6181890964508057
MH499971,-2.407456874847412
MH396959,-1.391670823097229
MH396964,-1.577082872390747
MH398541,-3.442244529724121
MH398551,-2.800792694091797
MH398555,-2.9375088214874268
MH398556,-1.6512765884399414
MH398557,-2.475912094116211
MH398559,-2.162900686264038
MH413993,-1.4255098104476929
MHJ4_L,-1.8863980770111084
MHJ5_L,-1.871895670890808
MH411652,-1.0472735166549683
MH1401601,-2.3864858150482178
MH483854,-0.47726938128471375
