!Version=2,type=RED,encoding=MBCS
FILECONT, TITLE
0,1
UserSettings,U_RD,U_EVAP,U_FLOW,U_VALUES,U_DATETIME
UserSettingsValues,mm,mm/day,m3/s,mm/hr,mm-dd-yyyy hh:mm
G_START,G_TS,G_NPROFILES,G_ARD,G_EVAP,G_UCWI,G_API30,G_SMS,G_SMD,G_WI,G_CINI,G_BF0,G_RP,G_DUR,G_RPT
01/01/2099 00:00:00,300,1,0,0,0.000,0,0,0.000,0,0,0,0.0000,0.0,POT
L_ARF,L_ARD,L_EVAP,L_UCWI,L_API30,L_SMS,L_SMD,L_WI,L_CINI,L_BF0
0.00,0,0,0.000,0,0,0.000,0,0,0
L_PTITLE,L_PDESC,L_GAUGE_DATA
1,COV2018_2100Moderate_50y24h_Z1S_SCS,
L_ACF,L_SCF
1.000,1.000
P_DATETIME,1
01/01/2099 00:00:00,0.000
01/01/2099 00:05:00,3.917
01/01/2099 00:10:00,3.116
01/01/2099 00:15:00,2.997
01/01/2099 00:20:00,2.878
01/01/2099 00:25:00,2.760
01/01/2099 00:30:00,2.671
01/01/2099 00:35:00,2.671
01/01/2099 00:40:00,2.819
01/01/2099 00:45:00,2.938
01/01/2099 00:50:00,3.056
01/01/2099 00:55:00,3.175
01/01/2099 01:00:00,3.442
01/01/2099 01:05:00,4.154
01/01/2099 01:10:00,4.303
01/01/2099 01:15:00,4.421
01/01/2099 01:20:00,4.540
01/01/2099 01:25:00,4.659
01/01/2099 01:30:00,4.689
01/01/2099 01:35:00,4.451
01/01/2099 01:40:00,4.451
01/01/2099 01:45:00,4.332
01/01/2099 01:50:00,4.481
01/01/2099 01:55:00,4.540
01/01/2099 02:00:00,4.481
01/01/2099 02:05:00,4.600
01/01/2099 02:10:00,4.748
01/01/2099 02:15:00,4.748
01/01/2099 02:20:00,4.837
01/01/2099 02:25:00,4.837
01/01/2099 02:30:00,4.748
01/01/2099 02:35:00,4.748
01/01/2099 02:40:00,4.748
01/01/2099 02:45:00,4.748
01/01/2099 02:50:00,4.748
01/01/2099 02:55:00,4.748
01/01/2099 03:00:00,4.718
01/01/2099 03:05:00,4.600
01/01/2099 03:10:00,4.748
01/01/2099 03:15:00,4.748
01/01/2099 03:20:00,4.748
01/01/2099 03:25:00,4.807
01/01/2099 03:30:00,4.956
01/01/2099 03:35:00,5.193
01/01/2099 03:40:00,5.341
01/01/2099 03:45:00,5.223
01/01/2099 03:50:00,5.371
01/01/2099 03:55:00,5.490
01/01/2099 04:00:00,5.490
01/01/2099 04:05:00,5.490
01/01/2099 04:10:00,5.490
01/01/2099 04:15:00,5.608
01/01/2099 04:20:00,5.727
01/01/2099 04:25:00,5.786
01/01/2099 04:30:00,5.816
01/01/2099 04:35:00,5.935
01/01/2099 04:40:00,6.083
01/01/2099 04:45:00,6.202
01/01/2099 04:50:00,6.321
01/01/2099 04:55:00,6.439
01/01/2099 05:00:00,6.588
01/01/2099 05:05:00,6.825
01/01/2099 05:10:00,6.973
01/01/2099 05:15:00,7.092
01/01/2099 05:20:00,7.211
01/01/2099 05:25:00,7.330
01/01/2099 05:30:00,7.389
01/01/2099 05:35:00,7.270
01/01/2099 05:40:00,7.567
01/01/2099 05:45:00,7.686
01/01/2099 05:50:00,7.804
01/01/2099 05:55:00,7.982
01/01/2099 06:00:00,8.309
01/01/2099 06:05:00,8.902
01/01/2099 06:10:00,9.051
01/01/2099 06:15:00,9.169
01/01/2099 06:20:00,9.288
01/01/2099 06:25:00,9.407
01/01/2099 06:30:00,9.347
01/01/2099 06:35:00,8.754
01/01/2099 06:40:00,8.754
01/01/2099 06:45:00,8.991
01/01/2099 06:50:00,9.318
01/01/2099 06:55:00,9.674
01/01/2099 07:00:00,10.089
01/01/2099 07:05:00,10.683
01/01/2099 07:10:00,11.425
01/01/2099 07:15:00,12.137
01/01/2099 07:20:00,12.938
01/01/2099 07:25:00,13.828
01/01/2099 07:30:00,17.983
01/01/2099 07:35:00,31.752
01/01/2099 07:40:00,34.571
01/01/2099 07:45:00,35.520
01/01/2099 07:50:00,35.490
01/01/2099 07:55:00,34.482
01/01/2099 08:00:00,30.861
01/01/2099 08:05:00,21.366
01/01/2099 08:10:00,18.250
01/01/2099 08:15:00,16.232
01/01/2099 08:20:00,14.570
01/01/2099 08:25:00,13.264
01/01/2099 08:30:00,12.641
01/01/2099 08:35:00,13.353
01/01/2099 08:40:00,12.612
01/01/2099 08:45:00,12.018
01/01/2099 08:50:00,11.425
01/01/2099 08:55:00,10.831
01/01/2099 09:00:00,10.267
01/01/2099 09:05:00,9.793
01/01/2099 09:10:00,9.347
01/01/2099 09:15:00,8.991
01/01/2099 09:20:00,8.635
01/01/2099 09:25:00,8.279
01/01/2099 09:30:00,8.071
01/01/2099 09:35:00,8.309
01/01/2099 09:40:00,8.309
01/01/2099 09:45:00,8.071
01/01/2099 09:50:00,7.834
01/01/2099 09:55:00,7.715
01/01/2099 10:00:00,7.656
01/01/2099 10:05:00,7.419
01/01/2099 10:10:00,7.122
01/01/2099 10:15:00,7.122
01/01/2099 10:20:00,7.122
01/01/2099 10:25:00,7.003
01/01/2099 10:30:00,6.884
01/01/2099 10:35:00,7.122
01/01/2099 10:40:00,6.825
01/01/2099 10:45:00,6.825
01/01/2099 10:50:00,6.825
01/01/2099 10:55:00,6.706
01/01/2099 11:00:00,6.528
01/01/2099 11:05:00,6.528
01/01/2099 11:10:00,6.232
01/01/2099 11:15:00,6.232
01/01/2099 11:20:00,6.232
01/01/2099 11:25:00,6.113
01/01/2099 11:30:00,5.905
01/01/2099 11:35:00,5.786
01/01/2099 11:40:00,5.638
01/01/2099 11:45:00,5.638
01/01/2099 11:50:00,5.638
01/01/2099 11:55:00,5.579
01/01/2099 12:00:00,5.490
01/01/2099 12:05:00,5.490
01/01/2099 12:10:00,5.638
