manhole_id,upstream_pipe_count,upstream_pipe_total_length,upstream_pipe_weighted_avg_diameter,upstream_pipe_weighted_avg_gradient,upstream_storm_impervious_area,upstream_sanitary_population
MH1400226,4,348.81839956711116,200.00000000000003,0.03899736945322128,0.024980087963869812,185.3000000000001
MH1400228,5,356.32362550876593,314.51550181361483,0.03816755058153009,2.577157247111015,98.60000000000001
MH1400230,4,291.03429472656427,267.29635178345075,0.0448400763637182,2.4304832638893767,90.00000000000001
MH1400232,3,249.94515561391557,200.0,0.051023193342859825,0.024980087963869812,185.3000000000001
MH1400234,3,245.93176909921192,261.29868366111964,0.047004907264894896,1.928654627509295,79.0
MH1400236,2,205.11373589506516,199.99999999999997,0.055305901140640934,0.024980087963869812,72.39999999999998
MH1400238,2,103.01680498037186,207.60844121012533,0.04135247643150724,1.7488310888786056,76.19999999999999
MH1400240,1,61.904546214474,200.0,0.06532638145814341,0.024980087963869812,53.399999999999984
MH1400242,0,0.0,0.0,0.0,0.0,24.200000000000003
MH1400244,0,0.0,0.0,0.0,0.327704276071639,2.8
MH1498064,3,310.8282392946195,246.8218789197471,0.03207559268947215,1.6386414012913597,139.00000000000003
MH1498069,2,190.85636768607827,200.00000000000003,0.0382486583418956,0.0,27.0
MH396965,6,320.1134445917905,284.7923999953575,0.010090172888923471,1.2568885223192419,41.0
MH397219,10,469.7484594697347,225.9897014365007,0.03812678815427579,3.2206894239005077,244.40000000000035
MH397221,8,494.6477614376909,223.08070005159013,0.03998805117910482,3.1698264548998942,313.60000000000036
MH397654,4,313.82139740521023,267.0065408202945,0.024058270285028844,2.3643238214361,30.199999999999996
MH397904,3,205.62744022623502,199.99999999999994,0.03686278442050516,0.0,27.0
MH398171,2,221.52132483259146,200.0,0.008983333778379492,0.0,87.2
MH398172,17,1352.100572130402,299.15441304907023,0.017259071167488132,5.830939904007871,235.4000000000002
MH398173,18,1399.5525477683586,309.3546141673101,0.01870312053787383,5.9846943065020906,240.40000000000018
MH398175,3,268.9320884314506,200.0,0.01825739735498886,0.08269582761067569,92.2
MH398558,2,128.62049996116167,222.74830529979846,0.007075077458684897,0.6044409299877102,88.10000000000001
MH398560,1,70.10253194257723,200.0,0.007988299202355666,0.45693023280438505,88.10000000000001
MH398561,12,668.7565339309201,238.4890299714375,0.014369953058271967,3.568391483333956,643.0999999999995
MH398562,11,606.7569328838736,224.54007410192787,0.015426276145725365,3.4718274896035557,637.4999999999994
MH398563,9,510.92510687440887,228.48121033328462,0.01554043810564143,2.604125281211992,432.50000000000017
MH400936,162,10550.585321573035,337.39756152097743,0.023363537897369325,41.21787341099819,5856.919999999998
MH400937,7,357.2994286724016,301.9864022544581,0.010019607401282446,1.2568885223192419,41.0
MH400939,7,438.540363202394,277.1761156013613,0.01981573585733866,3.041852636267448,74.6
MH400940,148,9583.15113403589,338.64212971025654,0.021356127763979976,36.634499897512185,5699.320000000006
MH400941,0,0.0,0.0,0.0,0.8187412884433307,189.30000000000007
MH400942,0,0.0,0.0,0.0,0.28783489149923136,62.49999999999999
MH400943,5,365.3824328899138,200.00000000000003,0.022168553468580265,0.0,527.8000000000001
MH400944,0,0.0,0.0,0.0,0.25586269807864215,24.4
MH401323,4,218.84796205962994,200.0,0.029518209533245847,1.4617715015072081,119.19999999999997
MH401324,6,322.0010704196709,216.60546989729843,0.025310474866987,1.6446288219266643,137.4
MH402868,4,316.4684733071015,199.99999999999997,0.0236674444115376,0.0,362.8
MH402978,11,832.3947023915333,227.40286369722688,0.02725029356245303,0.024980087963869812,306.7000000000001
MH403713,71,4518.777981837847,311.00237690712726,0.025844597913283994,21.542758949566053,1466.5999999999963
MH405860,2,145.62607343915815,200.0,0.014077149452611432,1.304805823386215,55.599999999999994
MH405861,3,223.37864969212933,200.00000000000003,0.03241133389416802,1.4406971949222844,76.99999999999999
MH405862,1,72.20962047993957,200.0,0.008032170729399237,0.6996784523841605,35.0
MH405863,0,0.0,0.0,0.0,0.4831026140601592,35.699999999999996
MH405864,0,0.0,0.0,0.0,0.8784823225668107,83.59999999999998
MH405865,7,569.0746230489873,199.99999999999997,0.05858634113988598,2.806274152471718,157.60000000000005
MH405938,8,583.5103911970251,202.47395219790755,0.05792527521345762,2.806274152471718,157.60000000000005
MH405939,0,0.0,0.0,0.0,0.3207430971565629,43.39999999999999
MH405940,9,685.7843926497029,217.01843478090512,0.05331121616626636,2.806274152471718,157.60000000000005
MH405941,2,151.12570342853564,200.00000000000003,0.07278708883033708,1.324467512919077,80.59999999999998
MH405942,1,76.20102784067363,200.0,0.07795170443658285,0.6205034476436365,80.59999999999998
MH405945,10,776.9253055810827,235.55121261290992,0.04942560079347608,3.506646832044411,157.60000000000005
MH405946,11,814.7253841654681,245.50079952048057,0.047537490242398124,3.506646832044411,157.60000000000005
MH406956,185,11771.394109086756,338.20016427527986,0.022226679149076466,46.00894502671702,6397.31999999998
MH406956_1,171,11064.57486122512,343.8128056913771,0.022762555557612564,42.47476193331744,5897.919999999996
MH407003,23,1743.7429382703444,296.23835792700135,0.018417852365244024,6.067390134112766,332.6000000000001
MH409133,9,426.256591942874,223.5398795589213,0.03633961396208957,2.6755210832665153,206.80000000000024
MH409134,5,301.97684486442216,229.45846563735407,0.021889095513159876,1.870933623008106,218.6000000000002
MH409138,13,551.2229367615138,240.13946079638222,0.034777217567588066,3.4303849468787773,258.0000000000004
MH409141,7,450.56886848382936,215.55572922987963,0.04130334184566042,2.8800580897140264,257.4000000000003
MH410048,6,287.88044180761295,344.6058900449315,0.008857843846523432,1.374161745611376,0.9
